age,current_language,first_language,gender,script,affect,phone_position,file_name,chunk_name,phone_model,file_num
40-60,English,English,Man,banana and mustard sandwiches,neutral,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_8b12154a-ac79-4560-b108-9bde561b8027.wav,/final/chunk10.wav,Samsung,1
40-60,English,English,Man,banana and mustard sandwiches,neutral,Hold your phone next to your hip with your hand covering the mic 5/19,/media/data/shout-data/shout_data_8b12154a-ac79-4560-b108-9bde561b8027.wav,/final/chunk20.wav,Samsung,2
60 and over,English,English,Woman,another dog secretary show,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_4b02236c-4083-45cc-8ad2-a016673ee58c.wav,/final/chunk11.wav,IPhone,3
60 and over,English,English,Woman,another dog secretary show,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_4b02236c-4083-45cc-8ad2-a016673ee58c.wav,/final/chunk12.wav,IPhone,4
60 and over,English,English,Woman,another dog secretary show,surprise,Place phone as far away as possible while on on the opposite side of a wall from you face down on a hard surface 17/19,/media/data/shout-data/shout_data_4b02236c-4083-45cc-8ad2-a016673ee58c.wav,/final/chunk13.wav,IPhone,5
25-39,English,English,Woman,join the Ear Look club,sadness,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_ec347b5a-18ff-41bc-b5e2-c02aa55abf60.wav,/final/chunk11.wav,Iphone,6
25-39,English,English,Woman,join the Ear Look club,sadness,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_ec347b5a-18ff-41bc-b5e2-c02aa55abf60.wav,/final/chunk31.wav,Iphone,7
25-39,English,English,Woman,join the Ear Look club,sadness,Hold your phone next to your face with your hand covering the mic 3/19,/media/data/shout-data/shout_data_ec347b5a-18ff-41bc-b5e2-c02aa55abf60.wav,/final/chunk40.wav,Iphone,8
40-60,English,Italian,Man,another dog secretary show,surprise,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_6df385ea-b7ee-44c6-ad1d-7ea3836854cb.wav,/final/chunk30.wav,iPhone 6,9
60 and over,English,English,Man,five dollar slaw onion cure,anger,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_e09a0211-1622-46c0-81e1-43de2d73d09c.wav,/final/chunk01.wav,Moto e,10
60 and over,English,English,Man,five dollar slaw onion cure,anger,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_e09a0211-1622-46c0-81e1-43de2d73d09c.wav,/final/chunk11.wav,Moto e,11
60 and over,English,English,Man,five dollar slaw onion cure,anger,Place phone on the opposite side of the room face up on any surface 12/19,/media/data/shout-data/shout_data_e09a0211-1622-46c0-81e1-43de2d73d09c.wav,/final/chunk31.wav,Moto e,12
25-39,English,English,Man,wolf ring lights are fantastic,fear,Place phone 1-2 meters away face down on a soft surface 10/19,/media/data/shout-data/shout_data_49ebd583-20c5-44e0-9bf2-157330f44216.wav,/final/chunk31.wav,s21 ultra,13
